Дата	Домен	Загрузки	Показы	Сумма
2018-10-01	Не определен	14	5	0,60
2018-10-01	zen.yandex.com	7	5	0,60
2018-10-01	www.nn.ru	175	87	10,44
2018-10-01	www.google.ru	5	0	0,00
2018-10-01	www.google.com	1	0	0,00
2018-10-01	www.e1.ru	94397	53798	6447,96
2018-10-01	v1.ru	7493	4767	568,74
2018-10-01	ufa1.ru	1930	1077	127,74
2018-10-01	translate.google.com	1	1	0,12
2018-10-01	pogoda.72.ru	1046	425	51,00
2018-10-01	ngs55.ru	2	0	0,00
2018-10-01	ngs24.ru	1	1	0,12
2018-10-01	news.ngs.ru	35	14	1,68
2018-10-01	doctor.ufa1.ru	3	2	0,14
2018-10-01	doctor.59.ru	3	1	0,12
2018-10-01	doctor.161.ru	2	2	0,24
2018-10-01	diplom.161.ru	2	2	0,24
2018-10-01	dengi.ufa1.ru	2	1	0,12
2018-10-01	dengi.76.ru	2	1	0,12
2018-10-01	dengi.72.ru	3	2	0,24
2018-10-01	dengi.63.ru	4	3	0,36
2018-10-01	dengi.59.ru	1	1	0,12
2018-10-01	dengi.161.ru	1	1	0,12
2018-10-01	afisha.v1.ru	1	0	0,00
2018-10-01	afisha.ufa1.ru	2	1	0,12
2018-10-01	afisha.72.ru	1	1	0,12
2018-10-01	afisha.59.ru	4	2	0,24
2018-10-01	76.ru	7938	4403	527,56
2018-10-01	72.ru	8284	5209	624,08
2018-10-01	63.ru	5762	3497	417,14
2018-10-01	59.ru	11061	7607	908,34
2018-10-01	29.ru	1381	828	99,26
2018-10-01	161.ru	2310	1299	155,38
2018-10-01	0s.o53xo.muys44tv.cmle.ru	15	7	0,84
2018-10-02	Не определен	10	3	0,36
2018-10-02	zen.yandex.com	25	15	1,70
2018-10-02	www.nn.ru	166	88	10,56
2018-10-02	www.e1.ru	113829	67907	8138,74
2018-10-02	v1.ru	5469	3479	415,38
2018-10-02	ufa1.ru	1658	924	108,98
2018-10-02	translate.google.com	1	1	0,12
2018-10-02	pr.mlg.ru	4	1	0,12
2018-10-02	pogoda.72.ru	1004	502	60,24
2018-10-02	ngs55.ru	2	0	0,00
2018-10-02	ngs24.ru	1	1	0,12
2018-10-02	news.ngs.ru	43	18	2,06
2018-10-02	doctor.59.ru	14	3	0,36
2018-10-02	diplom.161.ru	4	4	0,48
2018-10-02	dengi.v1.ru	2	2	0,24
2018-10-02	dengi.72.ru	24	13	1,56
2018-10-02	dengi.59.ru	12	6	0,72
2018-10-02	dengi.161.ru	5	2	0,24
2018-10-02	afisha.v1.ru	1	1	0,12
2018-10-02	afisha.59.ru	6	1	0,12
2018-10-02	afisha.29.ru	1	1	0,12
2018-10-02	afisha.161.ru	2	2	0,24
2018-10-02	76.ru	11343	7103	849,26
2018-10-02	72.ru	8098	5178	618,86
2018-10-02	63.ru	5577	3321	394,42
2018-10-02	59.ru	30406	20621	2461,62
2018-10-02	29.ru	1565	944	112,88
2018-10-02	161.ru	2151	1248	149,26
2018-10-02	0s.o53xo.muys44tv.cmle.ru	2	2	0,24
2018-10-02	0s.g43c44tv.nblu.ru	1	0	0,00
2018-10-03	Не определен	8	3	0,36
2018-10-03	zen.yandex.com	12	1	0,12
2018-10-03	www.nn.ru	181	91	10,72
2018-10-03	www.google.ru	1	0	0,00
2018-10-03	www.e1.ru	97746	56651	6788,32
2018-10-03	video.market-place.su	1	1	0,12
2018-10-03	v1.ru	2905	1578	188,16
2018-10-03	ufa1.ru	2301	1292	151,24
2018-10-03	translate.google.com	1	1	0,12
2018-10-03	pogoda.72.ru	896	427	51,24
2018-10-03	ngs55.ru	1	0	0,00
2018-10-03	news.ngs.ru	47	28	3,36
2018-10-03	doctor.59.ru	14	6	0,72
2018-10-03	diplom.161.ru	2	1	0,12
2018-10-03	dengi.v1.ru	1	1	0,12
2018-10-03	dengi.ufa1.ru	1	1	0,12
2018-10-03	dengi.76.ru	2	0	0,00
2018-10-03	dengi.72.ru	26	19	2,28
2018-10-03	dengi.63.ru	2	1	0,12
2018-10-03	dengi.59.ru	13	8	0,96
2018-10-03	dengi.161.ru	1	1	0,12
2018-10-03	afisha.72.ru	3	1	0,12
2018-10-03	afisha.59.ru	2	1	0,12
2018-10-03	76.ru	6010	3455	413,70
2018-10-03	72.ru	7159	4352	519,44
2018-10-03	63.ru	4156	2434	287,78
